adapter,stylePreset,pipelineVersion,resultFingerprint,previewPixelFingerprint,image,category,license,sourcePage,sourceSha256,width,height,colors,runtimeMs,evaluationRuntimeMs,sourceSamplingMs,outputHash,regions4,regions8,regionDensity4Per10k,regionDensity8Per10k,singletonCount,singletonAreaRatio,tinyAreaRatio,highContrastTinyCount,lowContrastTinyCount,transitionRatio,compactnessMean,compactnessP90,paletteUsed,paletteEntropyBits,meanDeltaE,edgePrecision,edgeRecall,idealRegionTaps,classicLowerBound,conservativeManualTapLowerBound,producerRegionCount,producerRegionDelta,producerTinyAreaRatio,producerTinyAreaDelta,producerEffortLowerBound,producerMetricsMatch,previewCellPixels,readableCellRatio,labelsPotentiallyLegible,panel
classic,classic,classic-v1,px128-a7c5157a6a56bac6185b85b48387f37a,rgba128-06040e0f00e70023b1112439ad82de37,landscape-utah-dunes,landscape,Public domain,https://commons.wikimedia.org/wiki/File:Utah_Dunes_Landscape_-_West_Desert_District.jpg,cefccb9b95f999a2444bb72cde06d5384b0144c6b67afe8bdff80b60146ba6bc,192,192,10,368.966,43.477,247.036,49e66a2e28f81a878da8d63d108f54e51b5112d815bc24170d3cdd857f024b38,84,80,22.786458333333336,21.70138888888889,32,0.0008680555555555555,0.001193576388888889,14,0,0.05825970767888307,0.4943791003935879,0.7853981633974483,10,2.876040446965723,5.031223722491834,0.28691785630704425,0.6514346439957492,84,93,122,,,,,,,1.6666666666666667,0,false,panels/landscape-utah-dunes-192x192-classic-vs-paintable.png
paintable,paintable,paintable-v1,px128-260f7ef9fd2fc3f1aa635b69ec8a7e7d,rgba128-679d1a58f3b32860b667b958ed8aa6a4,landscape-utah-dunes,landscape,Public domain,https://commons.wikimedia.org/wiki/File:Utah_Dunes_Landscape_-_West_Desert_District.jpg,cefccb9b95f999a2444bb72cde06d5384b0144c6b67afe8bdff80b60146ba6bc,192,192,10,383.533,68.416,247.036,ab5de3a831ed1cbf86757f6ab8f385977a796451e4bf95c142e6a0260bf3589a,82,78,22.24392361111111,21.158854166666664,5,0.00013563368055555556,0.00018988715277777778,2,0,0.06950807155322862,0.27269266285618854,0.4708494444037264,10,2.8527012574929387,4.741293826648972,0.2918791683012946,0.7906482465462275,82,91,88,82,0,0.00018988715277777778,0,82,true,1.6666666666666667,0,false,panels/landscape-utah-dunes-192x192-classic-vs-paintable.png
classic,classic,classic-v1,px128-bc89137e2c6ce42a0d654e148775bbae,rgba128-14e61104368412ac28828740e4893260,landscape-utah-dunes,landscape,Public domain,https://commons.wikimedia.org/wiki/File:Utah_Dunes_Landscape_-_West_Desert_District.jpg,cefccb9b95f999a2444bb72cde06d5384b0144c6b67afe8bdff80b60146ba6bc,512,512,10,1972.559,344.839,1328.448,e42ea8d6d6340bb1e9910ac64cb8a8fcdb726c233d74d66eaf0416133d50ce70,298,255,11.3677978515625,9.72747802734375,99,0.000377655029296875,0.000690460205078125,67,5,0.031328354329745595,0.560618769897585,0.7853981633974483,10,2.8294344946894237,5.127896272612247,0.25108277923503936,0.4435822825735532,298,307,438,,,,,,,0.625,0,false,panels/landscape-utah-dunes-512x512-classic-vs-paintable.png
paintable,paintable,paintable-v1,px128-16d8f5c8e527f8503714355ca5c265e4,rgba128-9611640205463c0e708756b4ff9546aa,landscape-utah-dunes,landscape,Public domain,https://commons.wikimedia.org/wiki/File:Utah_Dunes_Landscape_-_West_Desert_District.jpg,cefccb9b95f999a2444bb72cde06d5384b0144c6b67afe8bdff80b60146ba6bc,512,512,10,1809.307,327.549,1328.448,0718334c13ec1a3010f67e74fedff64d0b0e362f7189c3b8c1ec768f111f1cc5,141,135,5.37872314453125,5.14984130859375,11,0.000041961669921875,0.000064849853515625,9,0,0.036620138209393346,0.26650467690733576,0.6872233929727672,10,2.856557081100841,4.7418956251750615,0.23765786452353616,0.49078564500484967,141,150,155,141,0,0.000064849853515625,0,141,true,0.625,0,false,panels/landscape-utah-dunes-512x512-classic-vs-paintable.png
classic,classic,classic-v1,px128-8b0885c75f151d07ae0b67e312053f13,rgba128-f175a736b4970d86ba1d7a469ae3b9d2,landscape-utah-dunes,landscape,Public domain,https://commons.wikimedia.org/wiki/File:Utah_Dunes_Landscape_-_West_Desert_District.jpg,cefccb9b95f999a2444bb72cde06d5384b0144c6b67afe8bdff80b60146ba6bc,1024,1024,10,7864.976,1265.046,5262.438,7e63698f20383420b31f547425118b401ff7f12a16108c79992c479bb47fb284,1108,859,10.56671142578125,8.192062377929688,592,0.0005645751953125,0.000865936279296875,609,26,0.020053419782502444,0.647700794262767,0.7853981633974483,10,2.826602897945194,5.217065885872046,0.3065644785071643,0.24997088848348406,1108,1117,1858,,,,,,,0.3125,0,false,
classic,classic,classic-v1,px128-4c8fc17d78656cb101169c07f79a7455,rgba128-042d592cbb00b208d582f3aaf250ca9c,landscape-utah-dunes,landscape,Public domain,https://commons.wikimedia.org/wiki/File:Utah_Dunes_Landscape_-_West_Desert_District.jpg,cefccb9b95f999a2444bb72cde06d5384b0144c6b67afe8bdff80b60146ba6bc,1200,1200,10,11037.636,1726.545,7154.424,9b9c21b967c98f6e93797c4bc0e73057faadb79deb610a8266b6ea69b12a3995,1978,1629,13.73611111111111,11.312500000000002,947,0.0006576388888888889,0.001132638888888889,776,74,0.018022657770364194,0.6461483543632739,0.7853981633974483,10,2.840590069218495,5.391312557248957,0.30226369981874973,0.24859653017856576,1978,1987,3267,,,,,,,0.26666666666666666,0,false,
classic,classic,classic-v1,px128-92c58ec59c2528e54a36453d27073d09,rgba128-77fb169cdd46ebe84df7de7665d04d54,object-palm-wine-cup,object,CC0 1.0,"https://commons.wikimedia.org/wiki/File:Palm_Wine_Cup,_Br%C3%BCcke-Museum_Berlin,_65048,_view_a.jpg",589da43e6f7f86e2ae3b41d33e4cb06f8c2560b54e358818203accefb02f40f6,192,192,10,294.154,44.369,245.723,c29764b74d184c0fdb63cb2bd666cb5b67f20a87e4b91a032bc2285b49539e7b,40,35,10.850694444444445,9.49435763888889,10,0.0002712673611111111,0.00043402777777777775,3,3,0.035422120418848166,0.4255789589377531,0.7853981633974483,10,2.846862377035259,2.0426450239974656,0.3056197074672825,0.8357894736842105,40,49,53,,,,,,,1.6666666666666667,0,false,panels/object-palm-wine-cup-192x192-classic-vs-paintable.png
paintable,paintable,paintable-v1,px128-95bc7c2be69352cb021a1e43e10d9a47,rgba128-acaf73531b58f01ba282760b802d3fdf,object-palm-wine-cup,object,CC0 1.0,"https://commons.wikimedia.org/wiki/File:Palm_Wine_Cup,_Br%C3%BCcke-Museum_Berlin,_65048,_view_a.jpg",589da43e6f7f86e2ae3b41d33e4cb06f8c2560b54e358818203accefb02f40f6,192,192,10,309.488,36.53,245.723,09023b3411d0666e34f2a536e7620a31f1e650a05488bacca48ee3c432e6a354,51,50,13.834635416666668,13.563368055555555,4,0.00010850694444444444,0.00010850694444444444,2,0,0.03967604712041885,0.338189824279804,0.5890486225480862,10,2.8583952514495903,1.8286284571861162,0.2876288659793814,0.8810526315789474,51,60,55,51,0,0.00010850694444444444,0,51,true,1.6666666666666667,0,false,panels/object-palm-wine-cup-192x192-classic-vs-paintable.png
classic,classic,classic-v1,px128-3609be01e001f9f9a8cc5de5904160bd,rgba128-a98d57b8145e137869e057508889138c,object-palm-wine-cup,object,CC0 1.0,"https://commons.wikimedia.org/wiki/File:Palm_Wine_Cup,_Br%C3%BCcke-Museum_Berlin,_65048,_view_a.jpg",589da43e6f7f86e2ae3b41d33e4cb06f8c2560b54e358818203accefb02f40f6,512,512,10,2103.468,315.209,1388.023,465d0f5a5ebe52651dc416c95591bb039cb68a6458226d7feda78afb26a87e65,126,100,4.8065185546875,3.814697265625,54,0.00020599365234375,0.00035858154296875,8,12,0.017685145547945206,0.5802011255959579,0.7853981633974483,10,2.816547294209944,2.114327877634082,0.20315539226280527,0.8234778799824792,126,135,200,,,,,,,0.625,0,false,panels/object-palm-wine-cup-512x512-classic-vs-paintable.png
paintable,paintable,paintable-v1,px128-7e217e02fc42d9b21827a846de2b3a46,rgba128-c507d5c3c4aa908777ea483d85406793,object-palm-wine-cup,object,CC0 1.0,"https://commons.wikimedia.org/wiki/File:Palm_Wine_Cup,_Br%C3%BCcke-Museum_Berlin,_65048,_view_a.jpg",589da43e6f7f86e2ae3b41d33e4cb06f8c2560b54e358818203accefb02f40f6,512,512,10,1907.494,317.685,1388.023,5581786cb4045502d88c2afac44bc679760a68f052b59c3d8a38558691027484,80,78,3.0517578125,2.9754638671875,3,0.000011444091796875,0.000034332275390625,3,0,0.021314288772015657,0.26839786850932945,0.5626750451677284,10,2.8474579933524713,1.864349413065952,0.16677127230341612,0.8147174770039421,80,89,86,80,0,0.000034332275390625,0,80,true,0.625,0,false,panels/object-palm-wine-cup-512x512-classic-vs-paintable.png
